total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	29779	29395	14.999	2000.2	6.6	109.4	3.4	0.0	19.0	281.0	0.0	300.0	0	29395	0	0	0	8.58	6.38	57.2	42.6	99.8	708.0	5.8*10^6	605	605	0	0	0	0	0	0	0
45000	44453	43420	15.117	2976.8	5.6	79.0	3.0	0.0	19.0	281.0	0.0	300.0	0	43420	0	0	0	8.51	6.57	56.3	43.4	99.7	1039.6	8.5*10^6	1580	1580	0	0	0	0	0	0	0
60000	59994	59976	15.006	3998.3	0.5	8.7	0.2	0.0	19.0	281.0	0.0	300.0	0	59976	0	0	0	9.30	5.68	61.9	37.8	99.8	1440.3	11.8*10^6	24	24	0	0	0	0	0	0	0
75000	74990	74960	15.003	4999.1	0.5	12.0	0.3	0.0	19.0	281.0	0.0	300.0	0	74960	0	0	0	8.38	6.58	55.8	43.9	99.7	1800.6	14.8*10^6	40	40	0	0	0	0	0	0	0
90000	90000	90000	14.999	6000.4	0.5	4.1	0.2	0.0	19.0	281.0	0.0	300.0	0	90000	0	0	0	8.45	6.50	56.4	43.4	99.7	2162.2	17.7*10^6	0	0	0	0	0	0	0	0	0
30000	29983	29971	15.100	1986.8	2.5	75.0	1.2	0.0	19.0	281.0	0.0	300.0	0	29971	0	0	0	9.22	5.84	61.0	38.7	99.7	715.3	5.9*10^6	29	29	0	0	0	0	0	0	0
45000	44996	44992	15.000	2999.9	2.4	56.3	1.1	0.0	19.0	281.0	0.0	300.0	0	44992	0	0	0	10.24	4.72	68.2	31.5	99.7	1080.9	8.9*10^6	8	8	0	0	0	0	0	0	0
60000	59990	59958	15.009	3997.6	1.9	10.9	0.9	0.0	19.0	281.0	0.0	300.0	0	59958	0	0	0	8.35	6.62	55.6	44.1	99.7	1439.7	11.8*10^6	42	42	0	0	0	0	0	0	0
75000	74956	74907	15.003	4999.1	0.9	13.7	0.5	0.0	19.0	281.0	0.0	300.0	0	74907	0	0	0	7.97	6.99	53.1	46.6	99.7	1799.4	14.7*10^6	93	93	0	0	0	0	0	0	0
90000	89921	89828	14.999	6000.3	0.9	7.0	0.4	0.0	19.0	281.0	0.0	300.0	0	89828	0	0	0	7.66	7.30	51.1	48.7	99.8	2158.5	17.7*10^6	172	172	0	0	0	0	0	0	0
30000	29997	29993	14.999	2000.2	0.5	9.3	0.3	0.0	19.0	281.0	0.0	300.0	0	29993	0	0	0	9.63	5.33	64.2	35.5	99.8	720.6	5.9*10^6	7	7	0	0	0	0	0	0	0
45000	44988	44955	14.999	3000.2	0.6	23.7	0.3	0.0	19.0	281.0	0.0	300.0	0	44955	0	0	0	9.58	5.39	63.8	35.9	99.7	1080.2	8.8*10^6	45	45	0	0	0	0	0	0	0
60000	59993	59974	15.006	3998.3	0.6	14.3	0.3	0.0	19.0	281.0	0.0	300.0	0	59974	0	0	0	8.50	6.47	56.6	43.1	99.7	1440.3	11.8*10^6	26	26	0	0	0	0	0	0	0
75000	74970	74898	15.006	4998.0	1.0	20.7	0.5	0.0	19.0	281.0	0.0	300.0	0	74898	0	0	0	8.12	6.84	54.1	45.6	99.7	1798.9	14.7*10^6	102	102	0	0	0	0	0	0	0
90000	89843	89642	14.999	6000.3	1.1	12.8	0.5	0.0	19.0	281.0	0.0	300.0	0	89642	0	0	0	8.07	6.89	53.8	45.9	99.7	2154.5	17.6*10^6	358	358	0	0	0	0	0	0	0
30000	30000	30000	14.999	2000.2	1.0	14.3	0.5	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.29	5.67	62.0	37.8	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	44986	44958	14.999	3000.2	1.0	16.5	0.5	0.0	19.0	281.0	0.0	300.0	0	44958	0	0	0	8.72	6.24	58.1	41.6	99.7	1080.2	8.8*10^6	42	42	0	0	0	0	0	0	0
60000	59390	58538	15.008	3998.0	6.0	99.6	3.2	0.0	19.0	281.0	0.0	300.0	0	58538	0	0	0	7.68	7.29	51.2	48.6	99.7	1409.4	11.5*10^6	1462	1462	0	0	0	0	0	0	0
75000	73641	71740	15.003	4999.0	8.6	109.5	4.5	0.1	19.0	281.0	0.0	300.0	0	71740	0	0	0	7.29	7.67	48.6	51.1	99.7	1731.6	14.2*10^6	3260	3260	0	0	0	0	0	0	0
