total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	29983	29966	14.999	2000.2	2.9	107.7	1.4	0.0	19.0	281.0	0.0	300.0	0	29966	0	0	0	9.21	5.76	61.4	38.4	99.8	720.0	5.9*10^6	34	34	0	0	0	0	0	0	0
45000	45000	44999	14.999	3000.1	0.9	8.2	0.4	0.0	19.0	281.0	0.0	300.0	0	44999	0	0	0	9.02	5.94	60.1	39.6	99.7	1081.1	8.9*10^6	1	1	0	0	0	0	0	0	0
60000	59998	59979	15.006	3998.4	0.7	9.6	0.3	0.0	19.0	281.0	0.0	300.0	0	59979	0	0	0	8.80	6.17	58.7	41.1	99.8	1440.4	11.8*10^6	21	21	0	0	0	0	0	0	0
75000	74938	74846	15.003	4999.1	3.4	88.9	1.7	0.0	19.0	281.0	0.0	300.0	0	74846	0	0	0	7.54	7.42	50.3	49.4	99.7	1798.1	14.7*10^6	154	154	0	0	0	0	0	0	0
90000	89994	89991	15.000	6000.0	1.0	4.6	0.5	0.0	19.0	281.0	0.0	300.0	0	89991	0	0	0	7.65	7.30	51.0	48.7	99.7	2161.9	17.7*10^6	9	9	0	0	0	0	0	0	0
30000	30000	30000	14.999	2000.2	0.5	2.4	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.52	5.44	63.5	36.3	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	44998	44989	14.999	3000.2	0.5	6.2	0.2	0.0	19.0	281.0	0.0	300.0	0	44989	0	0	0	8.79	6.17	58.6	41.1	99.7	1080.9	8.9*10^6	11	11	0	0	0	0	0	0	0
60000	59987	59932	15.006	3998.3	0.5	13.3	0.3	0.0	19.0	281.0	0.0	300.0	0	59932	0	0	0	8.46	6.50	56.4	43.3	99.7	1439.4	11.8*10^6	68	68	0	0	0	0	0	0	0
75000	74978	74896	15.003	4999.1	0.5	13.0	0.3	0.0	19.0	281.0	0.0	300.0	0	74896	0	0	0	7.92	7.04	52.8	46.9	99.7	1799.3	14.7*10^6	104	104	0	0	0	0	0	0	0
90000	89943	89885	14.999	6000.4	0.5	15.6	0.3	0.0	19.0	281.0	0.0	300.0	0	89885	0	0	0	7.52	7.44	50.1	49.6	99.7	2159.7	17.7*10^6	115	115	0	0	0	0	0	0	0
30000	29040	27192	15.129	1982.9	13.4	109.9	7.3	0.0	19.0	281.0	0.0	300.0	0	27192	0	0	0	8.13	6.96	53.8	46.0	99.7	655.9	5.4*10^6	2808	2808	0	0	0	0	0	0	0
45000	44736	44270	14.999	3000.2	5.5	100.0	2.9	0.0	19.0	281.0	0.0	300.0	0	44270	0	0	0	8.46	6.49	56.4	43.3	99.7	1065.7	8.7*10^6	730	730	0	0	0	0	0	0	0
60000	59917	59805	15.008	3997.9	2.4	84.6	1.2	0.0	19.0	281.0	0.0	300.0	0	59805	0	0	0	7.91	7.05	52.7	47.0	99.7	1436.5	11.8*10^6	195	195	0	0	0	0	0	0	0
75000	74995	74960	15.004	4998.6	0.9	13.4	0.4	0.0	19.0	281.0	0.0	300.0	0	74960	0	0	0	7.85	7.11	52.3	47.4	99.7	1800.5	14.7*10^6	40	40	0	0	0	0	0	0	0
