total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	29966	29940	15.000	2000.0	4.7	79.2	2.4	0.0	19.0	281.0	0.0	300.0	0	29940	0	0	0	8.91	6.06	59.4	40.4	99.8	719.4	5.9*10^6	60	60	0	0	0	0	0	0	0
45000	44835	44618	15.005	2998.9	8.0	96.1	4.0	0.0	19.0	281.0	0.0	300.0	0	44618	0	0	0	8.22	6.74	54.8	44.9	99.7	1072.5	8.8*10^6	382	382	0	0	0	0	0	0	0
60000	58380	56062	15.120	3968.3	10.6	99.6	5.7	0.1	19.0	281.0	0.0	300.0	0	56062	0	0	0	7.76	7.32	51.4	48.4	99.7	1346.5	11.0*10^6	3938	3938	0	0	0	0	0	0	0
75000	74945	74894	15.003	4999.1	3.3	72.8	1.6	0.0	19.0	281.0	0.0	300.0	0	74894	0	0	0	7.92	7.04	52.8	47.0	99.7	1799.1	14.7*10^6	106	106	0	0	0	0	0	0	0
90000	89899	89815	14.999	6000.2	2.9	108.2	1.5	0.1	19.0	281.0	0.0	300.0	0	89815	0	0	0	7.77	7.19	51.8	48.0	99.7	2158.1	17.7*10^6	185	185	0	0	0	0	0	0	0
30000	29972	29949	15.007	1999.1	6.1	84.1	2.9	0.0	19.0	281.0	0.0	300.0	0	29949	0	0	0	8.64	6.34	57.5	42.2	99.8	719.2	5.9*10^6	51	51	0	0	0	0	0	0	0
45000	44977	44951	15.016	2996.8	4.7	93.0	2.3	0.0	19.0	281.0	0.0	300.0	0	44951	0	0	0	8.12	6.86	54.1	45.7	99.8	1078.9	8.8*10^6	49	49	0	0	0	0	0	0	0
60000	59964	59927	15.010	3997.3	4.2	57.7	2.1	0.0	19.0	281.0	0.0	300.0	0	59927	0	0	0	7.93	7.04	52.8	46.9	99.7	1438.8	11.8*10^6	73	73	0	0	0	0	0	0	0
75000	74983	74954	15.003	4998.9	0.7	18.5	0.3	0.0	19.0	281.0	0.0	300.0	0	74954	0	0	0	7.94	7.02	52.9	46.8	99.7	1800.4	14.7*10^6	46	46	0	0	0	0	0	0	0
90000	89970	89942	14.999	6000.4	0.5	10.7	0.2	0.0	19.0	281.0	0.0	300.0	0	89942	0	0	0	7.47	7.48	49.8	49.9	99.7	2161.0	17.7*10^6	58	58	0	0	0	0	0	0	0
30000	29671	29147	14.999	2000.2	5.4	110.6	2.9	0.0	19.0	281.0	0.0	300.0	0	29147	0	0	0	8.81	6.15	58.8	41.0	99.8	702.6	5.8*10^6	853	853	0	0	0	0	0	0	0
45000	44861	44687	14.999	3000.2	3.7	99.0	1.9	0.0	19.0	281.0	0.0	300.0	0	44687	0	0	0	8.56	6.39	57.1	42.6	99.7	1074.4	8.8*10^6	313	313	0	0	0	0	0	0	0
60000	59968	59953	15.006	3998.3	2.5	74.5	1.3	0.0	19.0	281.0	0.0	300.0	0	59953	0	0	0	8.09	6.87	53.9	45.8	99.7	1439.7	11.8*10^6	47	47	0	0	0	0	0	0	0
75000	73684	71646	15.003	4999.0	8.9	76.9	4.7	0.1	19.0	281.0	0.0	300.0	0	71646	0	0	0	7.26	7.71	48.4	51.4	99.7	1730.0	14.2*10^6	3354	3354	0	0	0	0	0	0	0
