total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	30000	30000	14.999	2000.2	0.4	2.6	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.89	5.07	66.0	33.8	99.7	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	45000	44997	14.999	3000.2	0.4	5.6	0.2	0.0	19.0	281.0	0.0	300.0	0	44997	0	0	0	9.25	5.71	61.7	38.1	99.8	1081.1	8.9*10^6	3	3	0	0	0	0	0	0	0
60000	59998	59986	15.006	3998.3	0.5	8.0	0.3	0.0	19.0	281.0	0.0	300.0	0	59986	0	0	0	8.61	6.36	57.4	42.4	99.7	1440.5	11.8*10^6	14	14	0	0	0	0	0	0	0
75000	74981	74943	15.003	4999.1	0.6	12.1	0.3	0.0	19.0	281.0	0.0	300.0	0	74943	0	0	0	7.84	7.12	52.2	47.5	99.7	1800.2	14.7*10^6	57	57	0	0	0	0	0	0	0
90000	88681	86484	15.002	5999.2	6.3	108.8	3.3	0.1	19.0	281.0	0.0	300.0	0	86484	0	0	0	7.15	7.81	47.7	52.0	99.7	2087.2	17.1*10^6	3516	3516	0	0	0	0	0	0	0
30000	29997	29995	15.032	1995.8	2.3	65.3	1.1	0.0	19.0	281.0	0.0	300.0	0	29995	0	0	0	9.26	5.74	61.6	38.2	99.8	719.1	5.9*10^6	5	5	0	0	0	0	0	0	0
45000	44997	44994	14.999	3000.1	0.9	10.3	0.4	0.0	19.0	281.0	0.0	300.0	0	44994	0	0	0	9.05	5.91	60.3	39.4	99.7	1081.0	8.9*10^6	6	6	0	0	0	0	0	0	0
60000	59974	59937	15.006	3998.3	0.9	8.9	0.4	0.0	19.0	281.0	0.0	300.0	0	59937	0	0	0	8.97	6.01	59.8	40.0	99.8	1439.5	11.8*10^6	63	63	0	0	0	0	0	0	0
75000	74887	74826	15.003	4999.1	1.9	80.3	1.0	0.0	19.0	281.0	0.0	300.0	0	74826	0	0	0	7.97	6.99	53.2	46.6	99.7	1797.5	14.7*10^6	174	174	0	0	0	0	0	0	0
90000	89547	89006	15.028	5989.0	3.8	110.1	2.0	0.1	19.0	281.0	0.0	300.0	0	89006	0	0	0	7.74	7.25	51.5	48.3	99.7	2136.7	17.5*10^6	994	994	0	0	0	0	0	0	0
30000	30000	30000	14.999	2000.1	1.1	8.3	0.5	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.79	5.17	65.3	34.5	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	44994	44986	14.999	3000.2	0.7	13.7	0.3	0.0	19.0	281.0	0.0	300.0	0	44986	0	0	0	8.83	6.14	58.9	40.9	99.8	1080.8	8.9*10^6	14	14	0	0	0	0	0	0	0
60000	59975	59944	15.006	3998.3	1.1	9.2	0.5	0.0	19.0	281.0	0.0	300.0	0	59944	0	0	0	8.46	6.50	56.4	43.3	99.7	1439.6	11.8*10^6	56	56	0	0	0	0	0	0	0
75000	74988	74956	15.003	4999.1	0.5	13.6	0.3	0.0	19.0	281.0	0.0	300.0	0	74956	0	0	0	8.00	6.96	53.3	46.4	99.7	1800.5	14.7*10^6	44	44	0	0	0	0	0	0	0
90000	89998	89993	14.999	6000.3	0.6	6.3	0.3	0.0	19.0	281.0	0.0	300.0	0	89993	0	0	0	7.48	7.48	49.8	49.9	99.7	2162.1	17.7*10^6	7	7	0	0	0	0	0	0	0
30000	29699	29211	14.999	2000.1	7.0	111.2	3.7	0.0	19.0	281.0	0.0	300.0	0	29211	0	0	0	8.76	6.20	58.4	41.4	99.8	704.0	5.8*10^6	789	789	0	0	0	0	0	0	0
45000	44987	44981	15.015	2997.0	3.4	64.0	1.7	0.0	19.0	281.0	0.0	300.0	0	44981	0	0	0	9.04	5.94	60.2	39.6	99.7	1079.5	8.8*10^6	19	19	0	0	0	0	0	0	0
60000	59945	59882	15.006	3998.3	5.0	88.4	2.5	0.0	19.0	281.0	0.0	300.0	0	59882	0	0	0	8.00	6.97	53.3	46.4	99.7	1438.2	11.8*10^6	118	118	0	0	0	0	0	0	0
75000	74580	73979	15.003	4999.0	1.9	76.0	1.0	0.0	19.0	281.0	0.0	300.0	0	73979	0	0	0	8.56	6.41	57.1	42.7	99.8	1779.6	14.6*10^6	1021	1021	0	0	0	0	0	0	0
