total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
30000	30000	30000	14.999	2000.2	0.5	8.3	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.56	5.41	63.7	36.0	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
45000	44999	44985	14.999	3000.2	0.5	10.5	0.2	0.0	19.0	281.0	0.0	300.0	0	44985	0	0	0	8.93	6.03	59.5	40.2	99.8	1080.8	8.9*10^6	15	15	0	0	0	0	0	0	0
60000	59993	59963	15.006	3998.3	0.5	8.4	0.3	0.0	19.0	281.0	0.0	300.0	0	59963	0	0	0	8.32	6.64	55.4	44.3	99.7	1440.1	11.8*10^6	37	37	0	0	0	0	0	0	0
75000	74994	74958	15.003	4999.1	0.5	11.9	0.3	0.0	19.0	281.0	0.0	300.0	0	74958	0	0	0	8.03	6.94	53.5	46.2	99.7	1800.6	14.8*10^6	42	42	0	0	0	0	0	0	0
90000	89998	89995	15.058	5977.1	0.5	2.9	0.2	0.0	19.0	281.0	0.0	300.0	0	89995	0	0	0	7.19	7.82	47.8	51.9	99.7	2153.7	17.6*10^6	5	5	0	0	0	0	0	0	0
30000	30000	29997	14.999	2000.1	3.6	21.3	1.7	0.0	19.0	281.0	0.0	300.0	0	29997	0	0	0	9.37	5.59	62.5	37.3	99.8	720.7	5.9*10^6	3	3	0	0	0	0	0	0	0
45000	44641	44195	15.014	2997.2	10.3	98.7	5.2	0.0	19.0	281.0	0.0	300.0	0	44195	0	0	0	8.19	6.78	54.6	45.1	99.7	1062.7	8.7*10^6	805	805	0	0	0	0	0	0	0
60000	59583	59042	15.124	3967.1	2.4	77.6	1.3	0.0	19.0	281.0	0.0	300.0	0	59042	0	0	0	8.21	6.88	54.3	45.5	99.7	1409.1	11.5*10^6	958	958	0	0	0	0	0	0	0
75000	74929	74814	15.005	4998.3	0.8	17.1	0.4	0.0	19.0	281.0	0.0	300.0	0	74814	0	0	0	7.99	6.97	53.2	46.5	99.7	1797.2	14.7*10^6	186	186	0	0	0	0	0	0	0
90000	88999	88064	15.092	5963.3	2.6	106.1	1.3	0.1	19.0	281.0	0.0	300.0	0	88064	0	0	0	6.83	8.22	45.2	54.5	99.7	2106.8	17.3*10^6	1936	1936	0	0	0	0	0	0	0
30000	29984	29965	14.999	2000.2	2.5	75.2	1.2	0.0	19.0	281.0	0.0	300.0	0	29965	0	0	0	9.12	5.84	60.8	39.0	99.8	720.0	5.9*10^6	35	35	0	0	0	0	0	0	0
45000	44998	44994	15.009	2998.3	2.5	27.0	1.2	0.0	19.0	281.0	0.0	300.0	0	44994	0	0	0	8.51	6.47	56.7	43.1	99.8	1080.3	8.8*10^6	6	6	0	0	0	0	0	0	0
60000	59705	59513	15.018	3995.2	3.1	75.4	1.6	0.0	19.0	281.0	0.0	300.0	0	59513	0	0	0	8.02	6.95	53.4	46.3	99.7	1428.9	11.7*10^6	487	487	0	0	0	0	0	0	0
75000	74996	74968	15.003	4999.1	0.5	12.9	0.2	0.0	19.0	281.0	0.0	300.0	0	74968	0	0	0	7.93	7.03	52.8	46.9	99.7	1800.8	14.8*10^6	32	32	0	0	0	0	0	0	0
